id,barrio,latitude,longitude,room_type,property_type,accommodates,bedrooms,beds,price_clean,minimum_nights,number_of_reviews,review_scores_rating,review_scores_location,review_scores_value,estimated_occupancy_l365d,ocupacion_pct_365d,n_amenities,poi_gastronomia_900m,poi_transporte_900m,poi_total_900m,instant_bookable,host_is_superhost,tiene_wifi,tiene_pileta,tiene_aire_acondicionado,tiene_cochera,tiene_cocina,tiene_ascensor,tiene_gimnasio,acepta_mascotas
729833942096388966,Recoleta,-34.58887849241689,-58.39185185730457,Entire home/apt,Entire rental unit,4,2.0,3.0,195746.67,3.0,85,4.88,5.0,4.85,108,29.589041095890412,30,,,,,t,True,False,True,False,True,False,False,False
1171002790521779597,Recoleta,-34.5876129,-58.38571329999999,Private room,Private room in condo,2,,2.0,49666.0,2.0,15,4.6,4.87,4.47,78,21.36986301369863,35,,,,,t,True,False,True,True,True,True,False,False
980395005697378694,Recoleta,-34.5966898,-58.4128426,Entire home/apt,Entire rental unit,2,,1.0,76500.49,3.0,80,4.98,4.9,4.95,186,50.95890410958904,34,,,,,t,True,True,False,False,True,True,True,False
978850197793838299,Recoleta,-34.5966898,-58.4128426,Entire home/apt,Entire rental unit,2,,1.0,81000.81,3.0,57,4.93,4.93,4.86,72,19.726027397260275,34,,,,,t,True,True,True,False,True,True,True,False
1056567335743753595,Recoleta,-34.59555035419421,-58.3900094470479,Entire home/apt,Entire condo,3,,2.0,110495.0,1.0,151,4.71,4.95,4.72,255,69.86301369863014,55,,,,,f,True,True,True,True,True,True,True,True
1195612664372912829,Retiro,-34.5978427,-58.38027639999999,Entire home/apt,Entire rental unit,3,1.0,2.0,79453.0,1.0,127,4.83,4.87,4.87,255,69.86301369863014,37,303.0,220.0,523.0,,t,True,False,True,True,True,True,False,True
17029190,Recoleta,-34.58495,-58.39526,Private room,Private room in rental unit,1,,1.0,42259.5,2.0,58,4.9,4.98,4.83,0,0.0,24,,,,,f,True,False,False,True,True,True,False,False
1557909042034928920,Recoleta,-34.59355,-58.394236,Entire home/apt,Entire rental unit,2,1.0,1.0,103503.5,1.0,15,5.0,5.0,4.87,90,24.65753424657534,28,,,,,t,True,False,True,False,True,False,False,False
31515814,Recoleta,-34.5979803,-58.39435890000001,Entire home/apt,Entire condo,6,2.0,3.0,132295.5,4.0,27,4.67,4.89,4.59,128,35.06849315068493,50,,,,,f,True,False,True,True,True,False,False,True
24312427,Recoleta,-34.58917,-58.39463,Entire home/apt,Entire rental unit,3,1.0,1.0,76781.67,3.0,68,4.81,4.97,4.81,24,6.575342465753424,18,,,,,f,True,False,True,False,True,True,False,False
